month,date,,retweets,favorites,geo,mentions,hashtags,id,permalink,text
September_2019,19/09/2019 22:45,,211,685,,,,1.17E+18,https://twitter.com/MiaFarrow/status/1174771475456372744,Oh theres Pompeo yucking it up with the murderer of journalist Jamal Khashoggi https://twitter.com/thehill/status/1174402025481736194 …
September_2019,18/09/2019 15:55,,16,56,,,,1.17E+18,https://twitter.com/_khashoggi/status/1174306026390204417,recap of my life: i meet someone ——> we talk ^ | | | | | | v they leave <——— i get feelings
September_2019,18/09/2019 11:16,,1,2,,,,1.17E+18,https://twitter.com/jercor1/status/1174235667108388864,It’s reassuring to know that certain countries put commodities before a Khashoggi ? pic.twitter.com/7QCkx13wmc
September_2019,17/09/2019 19:00,,1284,3709,,,,1.17E+18,https://twitter.com/JYSexton/status/1173990119503794177,"The Trump Administration had far more proof that Saudi Arabia murdered and dismembered Jamal Khashoggi, an American journalist, than they have that Iran attacked a Saudi oil facility. The difference in responses to these things tells you everything you need to know."
September_2019,17/09/2019 18:31,,909,4519,,,#Khashoggi,1.17E+18,https://twitter.com/McFaul/status/1173982900536000514,I'd feel more conviction about defending Saudi Arabia if the monarchy hadn't assassinated #Khashoggi .
September_2019,17/09/2019 04:48,,1301,2426,,@chrislhayes,,1.17E+18,https://twitter.com/MSNBC/status/1173775603247587328,". @chrislhayes: Today the U.S. is at a point where the president is threatening war, threatening to put American lives, blood, and treasure on the line for the guy who hacked Jamal Khashoggi to death — for a regime that spends lots of money at his hotels.” https://on.msnbc.com/30jJQEN """
September_2019,17/09/2019 02:29,,1,6,,,,1.17E+18,https://twitter.com/PDRVelez/status/1173740764217655296,Never forget: Khashoggi pic.twitter.com/N0ARjxX04Z
September_2019,17/09/2019 01:01,,445,2492,,,#MoscowMitchhttps,1.17E+18,https://twitter.com/ShannonSharpe/status/1173718485190377472,Where are the Saudi’s consequences for killing Jamal Khashoggi? #MoscowMitchhttps://twitter.com/Reuters/status/1173705966963101696 …
September_2019,16/09/2019 21:24,,1931,13525,,,,1.17E+18,https://twitter.com/kenklippenstein/status/1173664064184209408,Remember that guy who personally ordered the murder of Washington Post journalist Jamal Khashoggi? Yeah he needs a favor
September_2019,16/09/2019 18:40,,3,5,,,#NoWarWithIran,1.17E+18,https://twitter.com/w1ck3dj0k3r949/status/1173622578620981249,Remember when the Saudi's lies about killing Jamal Khashoggi a US resident. Remember when they had terrorist on the plan on 9/11? Remember that Osama Bin Landen was a Saudi. Remember all the lies Trump has said? #NoWarWithIran
